시군구별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
전국,640089,559934,496911,495036,476958,438707,451759,496822,465892,444849,470171,471265,484550,436455,435435,438420,406243,357771,326822,302676
서울특별시,133154,114764,102008,101227,99828,90468,93922,101249,94736,89594,93266,91526,93914,84066,83711,83005,75536,65389,58074,53673
부산광역시,41222,35848,30767,30117,28231,25681,25881,28426,26670,25110,27415,27759,28673,25831,26190,26645,24906,21480,19152,17049
대구광역시,32477,28111,24260,24513,23259,20804,20360,22295,20562,19399,20557,20758,21472,19340,19361,19438,18298,15946,14400,13233
인천광역시,34433,30494,26775,26832,25092,23026,23711,26712,25365,24379,25752,26118,27781,25560,25786,25491,23609,20445,20087,18522
광주광역시,21148,18198,16036,15954,14729,13327,13679,14810,13890,13101,13979,13916,14392,12729,12729,12441,11580,10120,9105,8364
대전광역시,19570,17290,15631,15712,15024,13950,14489,15780,14856,13915,14314,14808,15279,14099,13962,13774,12436,10851,9337,8410
울산광역시,15816,13600,11666,11720,11151,10469,10740,11955,11365,11033,11432,11542,12160,11330,11556,11732,10910,9381,8149,7539
경기도,141704,126264,116854,120433,117812,109533,115111,126648,119397,113692,121753,122027,124746,112129,112169,113495,105643,94088,88175,83198
강원도,19482,16873,15314,14349,13776,12657,12455,13690,12373,12112,12477,12408,12426,10980,10662,10929,10058,8958,8351,8283
충청북도,19628,17322,15329,14650,14331,13164,13366,15002,14064,13903,14670,14804,15139,13658,13366,13563,12742,11394,10586,9333
충청남도,24733,21962,19059,18627,18640,17521,18625,20630,19749,19257,20242,20398,20448,18628,18200,18604,17302,15670,14380,13228
전라북도,25173,22192,19215,18437,17257,15745,15571,17228,15878,15233,16100,16175,16238,14555,14231,14087,12698,11348,10001,8971
전라남도,26046,22588,19242,18333,17256,15818,15905,17844,16363,15995,16654,16612,16990,15401,14817,15061,13980,12354,11238,10832
경상북도,35190,30500,26022,25447,23553,22339,22567,25062,23538,22373,23700,24250,24635,22206,22062,22310,20616,17957,16079,14472
경상남도,41680,36475,32203,32102,30922,28471,29524,33313,31493,30320,32203,32536,33211,29504,29763,29537,27138,23849,21224,19250
제주특별자치도,8633,7453,6530,6583,6097,5734,5853,6178,5593,5433,5657,5628,5992,5328,5526,5600,5494,5037,4781,4500
